Month of Period End,Region,Avg. Median Sale Price
April 2014,"San Diego, CA - Village",$660K
May 2014,"San Diego, CA - Village",$678K
June 2014,"San Diego, CA - Village",$762K
July 2014,"San Diego, CA - Village",$791K
August 2014,"San Diego, CA - Village",$730K
September 2014,"San Diego, CA - Village",$603K
October 2014,"San Diego, CA - Village",$709K
November 2014,"San Diego, CA - Village",$758K
December 2014,"San Diego, CA - Village",$787K
January 2015,"San Diego, CA - Village",$729K
February 2015,"San Diego, CA - Village",$777K
March 2015,"San Diego, CA - Village",$816K
April 2015,"San Diego, CA - Village",$733K
May 2015,"San Diego, CA - Village",$667K
June 2015,"San Diego, CA - Village",$714K
July 2015,"San Diego, CA - Village",$835K
August 2015,"San Diego, CA - Village",$871K
September 2015,"San Diego, CA - Village",$775K
October 2015,"San Diego, CA - Village",$765K
November 2015,"San Diego, CA - Village",$802K
December 2015,"San Diego, CA - Village",$832K
January 2016,"San Diego, CA - Village",$840K
February 2016,"San Diego, CA - Village",$723K
March 2016,"San Diego, CA - Village",$846K
April 2016,"San Diego, CA - Village",$732K
May 2016,"San Diego, CA - Village",$801K
June 2016,"San Diego, CA - Village",$704K
July 2016,"San Diego, CA - Village",$695K
August 2016,"San Diego, CA - Village",$754K
September 2016,"San Diego, CA - Village",$730K
October 2016,"San Diego, CA - Village",$673K
November 2016,"San Diego, CA - Village",$663K
December 2016,"San Diego, CA - Village",$611K
January 2017,"San Diego, CA - Village",$719K
February 2017,"San Diego, CA - Village",$834K
March 2017,"San Diego, CA - Village",$829K
April 2017,"San Diego, CA - Village",$729K
May 2017,"San Diego, CA - Village",$693K
June 2017,"San Diego, CA - Village",$890K
July 2017,"San Diego, CA - Village",$840K
August 2017,"San Diego, CA - Village",$843K
September 2017,"San Diego, CA - Village",$714K
October 2017,"San Diego, CA - Village",$838K
November 2017,"San Diego, CA - Village",$853K
December 2017,"San Diego, CA - Village","$1,092K"
January 2018,"San Diego, CA - Village","$1,007K"
February 2018,"San Diego, CA - Village",$963K
March 2018,"San Diego, CA - Village",$955K
April 2018,"San Diego, CA - Village",$971K
May 2018,"San Diego, CA - Village",$908K
June 2018,"San Diego, CA - Village",$962K
July 2018,"San Diego, CA - Village",$948K
August 2018,"San Diego, CA - Village","$1,077K"
September 2018,"San Diego, CA - Village",$895K
October 2018,"San Diego, CA - Village",$840K
November 2018,"San Diego, CA - Village",$854K
December 2018,"San Diego, CA - Village",$895K
January 2019,"San Diego, CA - Village","$1,084K"
February 2019,"San Diego, CA - Village","$1,110K"
March 2019,"San Diego, CA - Village","$1,064K"
April 2019,"San Diego, CA - Village",$830K
May 2019,"San Diego, CA - Village",$966K
June 2019,"San Diego, CA - Village","$1,145K"
July 2019,"San Diego, CA - Village","$1,330K"
August 2019,"San Diego, CA - Village","$1,096K"
September 2019,"San Diego, CA - Village",$901K
October 2019,"San Diego, CA - Village",$869K
November 2019,"San Diego, CA - Village",$936K
December 2019,"San Diego, CA - Village",$943K
January 2020,"San Diego, CA - Village",$950K
February 2020,"San Diego, CA - Village",$945K
March 2020,"San Diego, CA - Village","$1,078K"
April 2020,"San Diego, CA - Village","$1,430K"
May 2020,"San Diego, CA - Village","$1,339K"
June 2020,"San Diego, CA - Village","$1,252K"
July 2020,"San Diego, CA - Village","$1,004K"
August 2020,"San Diego, CA - Village",$983K
September 2020,"San Diego, CA - Village","$1,003K"
October 2020,"San Diego, CA - Village",$996K
November 2020,"San Diego, CA - Village",$989K
December 2020,"San Diego, CA - Village",$974K
January 2021,"San Diego, CA - Village",$935K
February 2021,"San Diego, CA - Village",$866K
March 2021,"San Diego, CA - Village","$1,133K"
April 2021,"San Diego, CA - Village","$1,188K"
May 2021,"San Diego, CA - Village","$1,217K"
June 2021,"San Diego, CA - Village","$1,281K"
July 2021,"San Diego, CA - Village","$1,221K"
August 2021,"San Diego, CA - Village","$1,163K"
September 2021,"San Diego, CA - Village","$1,095K"
October 2021,"San Diego, CA - Village","$1,151K"
November 2021,"San Diego, CA - Village","$1,260K"
February 2012,"San Diego, CA - Views",$159K
March 2012,"San Diego, CA - Views",$157K
April 2012,"San Diego, CA - Views",$170K
May 2012,"San Diego, CA - Views",$172K
June 2012,"San Diego, CA - Views",$185K
July 2012,"San Diego, CA - Views",$175K
August 2012,"San Diego, CA - Views",$175K
September 2012,"San Diego, CA - Views",$169K
October 2012,"San Diego, CA - Views",$169K
November 2012,"San Diego, CA - Views",$169K
December 2012,"San Diego, CA - Views",$213K
January 2013,"San Diego, CA - Views",$210K
February 2013,"San Diego, CA - Views",$173K
March 2013,"San Diego, CA - Views",$192K
April 2013,"San Diego, CA - Views",$183K
May 2013,"San Diego, CA - Views",$218K
June 2013,"San Diego, CA - Views",$202K
July 2013,"San Diego, CA - Views",$223K
August 2013,"San Diego, CA - Views",$229K
September 2013,"San Diego, CA - Views",$243K
October 2013,"San Diego, CA - Views",$245K
November 2013,"San Diego, CA - Views",$245K
December 2013,"San Diego, CA - Views",$253K
January 2014,"San Diego, CA - Views",$244K
February 2014,"San Diego, CA - Views",$224K
March 2014,"San Diego, CA - Views",$217K
April 2014,"San Diego, CA - Views",$250K
May 2014,"San Diego, CA - Views",$250K
June 2014,"San Diego, CA - Views",$257K
July 2014,"San Diego, CA - Views",$251K
August 2014,"San Diego, CA - Views",$266K
September 2014,"San Diego, CA - Views",$265K
October 2014,"San Diego, CA - Views",$265K
November 2014,"San Diego, CA - Views",$240K
December 2014,"San Diego, CA - Views",$193K
January 2015,"San Diego, CA - Views",$240K
February 2015,"San Diego, CA - Views",$254K
March 2015,"San Diego, CA - Views",$225K
April 2015,"San Diego, CA - Views",$250K
May 2015,"San Diego, CA - Views",$250K
June 2015,"San Diego, CA - Views",$258K
July 2015,"San Diego, CA - Views",$265K
August 2015,"San Diego, CA - Views",$265K
September 2015,"San Diego, CA - Views",$265K
October 2015,"San Diego, CA - Views",$252K
November 2015,"San Diego, CA - Views",$250K
December 2015,"San Diego, CA - Views",$250K
January 2016,"San Diego, CA - Views",$264K
February 2016,"San Diego, CA - Views",$276K
March 2016,"San Diego, CA - Views",$279K
April 2016,"San Diego, CA - Views",$283K
May 2016,"San Diego, CA - Views",$270K
June 2016,"San Diego, CA - Views",$266K
July 2016,"San Diego, CA - Views",$270K
August 2016,"San Diego, CA - Views",$290K
September 2016,"San Diego, CA - Views",$299K
October 2016,"San Diego, CA - Views",$295K
November 2016,"San Diego, CA - Views",$298K
December 2016,"San Diego, CA - Views",$300K
January 2017,"San Diego, CA - Views",$303K
February 2017,"San Diego, CA - Views",$305K
March 2017,"San Diego, CA - Views",$305K
April 2017,"San Diego, CA - Views",$310K
May 2017,"San Diego, CA - Views",$309K
June 2017,"San Diego, CA - Views",$310K
July 2017,"San Diego, CA - Views",$327K
August 2017,"San Diego, CA - Views",$335K
September 2017,"San Diego, CA - Views",$340K
October 2017,"San Diego, CA - Views",$340K
November 2017,"San Diego, CA - Views",$340K
December 2017,"San Diego, CA - Views",$329K
January 2018,"San Diego, CA - Views",$310K
February 2018,"San Diego, CA - Views",$320K
March 2018,"San Diego, CA - Views",$350K
April 2018,"San Diego, CA - Views",$350K
May 2018,"San Diego, CA - Views",$360K
June 2018,"San Diego, CA - Views",$316K
July 2018,"San Diego, CA - Views",$315K
August 2018,"San Diego, CA - Views",$275K
September 2018,"San Diego, CA - Views",$308K
October 2018,"San Diego, CA - Views",$345K
November 2018,"San Diego, CA - Views",$363K
December 2018,"San Diego, CA - Views",$360K
January 2019,"San Diego, CA - Views",$356K
February 2019,"San Diego, CA - Views",$360K
March 2019,"San Diego, CA - Views",$360K
April 2019,"San Diego, CA - Views",$365K
May 2019,"San Diego, CA - Views",$365K
June 2019,"San Diego, CA - Views",$370K
July 2019,"San Diego, CA - Views",$360K
August 2019,"San Diego, CA - Views",$360K
September 2019,"San Diego, CA - Views",$360K
October 2019,"San Diego, CA - Views",$359K
November 2019,"San Diego, CA - Views",$358K
December 2019,"San Diego, CA - Views",$350K
January 2020,"San Diego, CA - Views",$319K
February 2020,"San Diego, CA - Views",$321K
March 2020,"San Diego, CA - Views",$371K
April 2020,"San Diego, CA - Views",$385K
May 2020,"San Diego, CA - Views",$380K
June 2020,"San Diego, CA - Views",$375K
July 2020,"San Diego, CA - Views",$340K
August 2020,"San Diego, CA - Views",$308K
September 2020,"San Diego, CA - Views",$323K
October 2020,"San Diego, CA - Views",$393K
November 2020,"San Diego, CA - Views",$392K
December 2020,"San Diego, CA - Views",$387K
January 2021,"San Diego, CA - Views",$384K
February 2021,"San Diego, CA - Views",$401K
March 2021,"San Diego, CA - Views",$419K
April 2021,"San Diego, CA - Views",$427K
May 2021,"San Diego, CA - Views",$429K
June 2021,"San Diego, CA - Views",$450K
July 2021,"San Diego, CA - Views",$455K
August 2021,"San Diego, CA - Views",$465K
September 2021,"San Diego, CA - Views",$445K
October 2021,"San Diego, CA - Views",$460K
November 2021,"San Diego, CA - Views",$478K
February 2012,"San Diego, CA - Valencia Park",$208K
March 2012,"San Diego, CA - Valencia Park",$200K
April 2012,"San Diego, CA - Valencia Park",$200K
May 2012,"San Diego, CA - Valencia Park",$205K
June 2012,"San Diego, CA - Valencia Park",$218K
July 2012,"San Diego, CA - Valencia Park",$231K
August 2012,"San Diego, CA - Valencia Park",$231K
September 2012,"San Diego, CA - Valencia Park",$231K
October 2012,"San Diego, CA - Valencia Park",$210K
November 2012,"San Diego, CA - Valencia Park",$249K
December 2012,"San Diego, CA - Valencia Park",$258K
January 2013,"San Diego, CA - Valencia Park",$260K
February 2013,"San Diego, CA - Valencia Park",$265K
March 2013,"San Diego, CA - Valencia Park",$267K
April 2013,"San Diego, CA - Valencia Park",$265K
May 2013,"San Diego, CA - Valencia Park",$270K
June 2013,"San Diego, CA - Valencia Park",$261K
July 2013,"San Diego, CA - Valencia Park",$293K
August 2013,"San Diego, CA - Valencia Park",$315K
September 2013,"San Diego, CA - Valencia Park",$310K
October 2013,"San Diego, CA - Valencia Park",$308K
November 2013,"San Diego, CA - Valencia Park",$295K
December 2013,"San Diego, CA - Valencia Park",$305K
January 2014,"San Diego, CA - Valencia Park",$243K
February 2014,"San Diego, CA - Valencia Park",$274K
March 2014,"San Diego, CA - Valencia Park",$289K
April 2014,"San Diego, CA - Valencia Park",$328K
May 2014,"San Diego, CA - Valencia Park",$340K
June 2014,"San Diego, CA - Valencia Park",$325K
July 2014,"San Diego, CA - Valencia Park",$324K
August 2014,"San Diego, CA - Valencia Park",$320K
September 2014,"San Diego, CA - Valencia Park",$330K
October 2014,"San Diego, CA - Valencia Park",$340K
